2026-04-20T07:37:21.889660Z [info     ] setup plugin alembic.autogenerate.schemas [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.889891Z [info     ] setup plugin alembic.autogenerate.tables [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.890008Z [info     ] setup plugin alembic.autogenerate.types [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.890107Z [info     ] setup plugin alembic.autogenerate.constraints [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.890215Z [info     ] setup plugin alembic.autogenerate.defaults [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.890312Z [info     ] setup plugin alembic.autogenerate.comments [alembic.runtime.plugins] loc=plugins.py:37
standalone | Starting Airflow Standalone
dag-processor | -----------  ----------------------  -----  ------------------  --------  ----------  ---------------  -------------------
dag-processor | dags-folder  biomonitor_pipeline.py                                    1           0  0.06s            2026-04-20T07:39:01
dag-processor | ================================================================================ [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:881
dag-processor | 2026-04-20T07:39:31.190432Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
api-server | 2026-04-20T07:39:31.193280Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=15169 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:39:31.200943Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=14804 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
dag-processor | 2026-04-20T07:39:31.238535Z [info     ] Bulk-writing dags to db        [airflow.serialization.definitions.dag] count=1 loc=dag.py:197
dag-processor | 2026-04-20T07:39:31.240837Z [info     ] get next_dagrun_info_v2        [airflow.serialization.definitions.dag] last_automated_run_info=None loc=dag.py:420 next_info=None
dag-processor | 2026-04-20T07:39:31.241002Z [info     ] setting next dagrun info       [airflow.models.dag] loc=dag.py:777 next_dagrun=None next_dagrun_create_after=None next_dagrun_data_interval_end=None next_dagrun_data_interval_start=None next_dagrun_partition_date=None next_dagrun_partition_key=None
api-server | 2026-04-20T07:39:31.521332Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=6013 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:39:31.600719Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=6643 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:39:31.695378Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=9074 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:39:31.770315Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=14030 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:39:31.821172Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=12476 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
api-server | 2026-04-20T07:39:32.818516Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=5707 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:39:34.249521Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=13988 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:39:34.266753Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=21641 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:39:34.564541Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=3686 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:39:34.674301Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=30633 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:39:34.747357Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=13026 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:39:34.828311Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=18605 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:39:34.884385Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=23861 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
api-server | 2026-04-20T07:39:35.549248Z [info     ] request finished               [http.access] client_addr=127.0.0.1:51588 duration_us=6891 loc=http_access_log.py:98 method=PUT path=/execution/task-instances/019da9d3-6759-7f54-887c-e3b8f5a35dac/heartbeat query= status_code=204
api-server | 2026-04-20T07:39:35.817508Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=6172 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
dag-processor | 2026-04-20T07:39:36.257961Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
api-server | 2026-04-20T07:39:37.299232Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=7773 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:39:37.311493Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=9076 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:39:37.606176Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=3568 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:39:37.718206Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=7060 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:39:37.796807Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=12098 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:39:37.881887Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=10957 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:39:37.937555Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=12302 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
api-server | 2026-04-20T07:39:38.818458Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=6776 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:39:40.363982Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=19780 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:39:40.371202Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=22312 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:39:40.560809Z [info     ] request finished               [http.access] client_addr=127.0.0.1:51590 duration_us=6799 loc=http_access_log.py:98 method=PUT path=/execution/task-instances/019da9d3-6759-7f54-887c-e3b8f5a35dac/heartbeat query= status_code=204
api-server | 2026-04-20T07:39:40.649713Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=4778 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:39:40.760846Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=7333 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:39:40.846383Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=11261 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:39:40.928538Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=9607 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:39:40.994148Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=15563 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
dag-processor | 2026-04-20T07:39:41.276435Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
api-server | 2026-04-20T07:39:41.816163Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=5718 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:39:43.414298Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=11341 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:39:43.422948Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=12480 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:39:43.709333Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=3611 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:39:43.805235Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=6841 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:39:43.892596Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=9275 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:39:43.976492Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=11238 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:39:44.048082Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=13979 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
api-server | 2026-04-20T07:39:44.855784Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=32461 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:39:45.569778Z [info     ] request finished               [http.access] client_addr=127.0.0.1:60776 duration_us=6805 loc=http_access_log.py:98 method=PUT path=/execution/task-instances/019da9d3-6759-7f54-887c-e3b8f5a35dac/heartbeat query= status_code=204
dag-processor | 2026-04-20T07:39:46.293675Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
api-server | 2026-04-20T07:39:46.462968Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=10257 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:39:46.471006Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=11058 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:39:46.751327Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=4068 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:39:46.851992Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=9019 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:39:46.939134Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=10798 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:39:47.023012Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=8933 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:39:47.098699Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=12468 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
api-server | 2026-04-20T07:39:47.818940Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=5990 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:39:49.528065Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=26126 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:39:49.538808Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=19154 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:39:49.806806Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=12154 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:39:49.925925Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=36294 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:39:50.015795Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=33417 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:39:50.075743Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=14289 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:39:50.166212Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=22843 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
api-server | 2026-04-20T07:39:50.582346Z [info     ] request finished               [http.access] client_addr=127.0.0.1:60782 duration_us=5944 loc=http_access_log.py:98 method=PUT path=/execution/task-instances/019da9d3-6759-7f54-887c-e3b8f5a35dac/heartbeat query= status_code=204
api-server | 2026-04-20T07:39:50.817252Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=5906 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
dag-processor | 2026-04-20T07:39:51.317714Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
api-server | 2026-04-20T07:39:52.579655Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=10775 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:39:52.587674Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=10360 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:39:52.856414Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=4554 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:39:52.968924Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=8720 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:39:53.066095Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=9894 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:39:53.127782Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=13573 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:39:53.219142Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=12283 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
api-server | 2026-04-20T07:39:53.822151Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=5779 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:39:55.590981Z [info     ] request finished               [http.access] client_addr=127.0.0.1:35514 duration_us=6260 loc=http_access_log.py:98 method=PUT path=/execution/task-instances/019da9d3-6759-7f54-887c-e3b8f5a35dac/heartbeat query= status_code=204
api-server | 2026-04-20T07:39:55.628044Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=8924 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:39:55.644689Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=13469 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:39:55.897469Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=4492 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:39:56.025785Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=16175 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:39:56.111500Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=9214 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:39:56.184848Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=9411 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:39:56.273061Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=14126 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
dag-processor | 2026-04-20T07:39:56.336724Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
api-server | 2026-04-20T07:39:56.818849Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=5822 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:39:58.678078Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=9462 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:39:58.697906Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=14779 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:39:58.942820Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=5254 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:39:59.074116Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=6716 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:39:59.161005Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=10484 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:39:59.232697Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=10957 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:39:59.323200Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=12201 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
api-server | 2026-04-20T07:39:59.823239Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=10842 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:40:00.598909Z [info     ] request finished               [http.access] client_addr=127.0.0.1:35516 duration_us=5736 loc=http_access_log.py:98 method=PUT path=/execution/task-instances/019da9d3-6759-7f54-887c-e3b8f5a35dac/heartbeat query= status_code=204
dag-processor | 2026-04-20T07:40:01.362887Z [info     ]
dag-processor | ================================================================================
dag-processor | DAG File Processing Stats
dag-processor | Bundle       File Path               PID    Current Duration      # DAGs    # Errors  Last Duration    Last Run At
dag-processor | -----------  ----------------------  -----  ------------------  --------  ----------  ---------------  -------------------
dag-processor | dags-folder  biomonitor_pipeline.py                                    1           0  0.04s            2026-04-20T07:39:31
dag-processor | ================================================================================ [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:881
dag-processor | 2026-04-20T07:40:01.364001Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
dag-processor | 2026-04-20T07:40:01.415550Z [info     ] Bulk-writing dags to db        [airflow.serialization.definitions.dag] count=1 loc=dag.py:197
dag-processor | 2026-04-20T07:40:01.417597Z [info     ] get next_dagrun_info_v2        [airflow.serialization.definitions.dag] last_automated_run_info=None loc=dag.py:420 next_info=None
dag-processor | 2026-04-20T07:40:01.417721Z [info     ] setting next dagrun info       [airflow.models.dag] loc=dag.py:777 next_dagrun=None next_dagrun_create_after=None next_dagrun_data_interval_end=None next_dagrun_data_interval_start=None next_dagrun_partition_date=None next_dagrun_partition_key=None
api-server | 2026-04-20T07:40:01.725332Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=8315 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:40:01.748509Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=13491 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:40:01.996669Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=13295 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:40:02.127554Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=7044 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:40:02.207188Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=9188 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:40:02.280594Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=11426 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:40:02.398484Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=32926 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
api-server | 2026-04-20T07:40:02.824800Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=6061 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:40:04.778923Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=12343 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:40:04.813034Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=21639 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
